Current Time = 14:59:38
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 15:57:39
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 16:56:04
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 17:54:58
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 18:59:17
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 20:01:03
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 21:01:06
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 22:00:32
Total Items = 74
Sold Items = 50
Available Items = 24
________________________________Current Time = 22:59:14
Total Items = 47
Sold Items = 22
Available Items = 25
________________________________Current Time = 23:38:36
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 00:28:11
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 01:38:19
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 02:29:47
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 03:30:09
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 04:36:56
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 05:41:31
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 06:56:02
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 07:48:29
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 08:49:31
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 10:03:30
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 10:59:08
Total Items = 74
Sold Items = 50
Available Items = 24
________________________________Current Time = 11:59:11
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 13:02:30
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 14:15:10
Total Items = 75
Sold Items = 50
Available Items = 25
________________________________Current Time = 15:08:25
Total Items = 75
Sold Items = 51
Available Items = 24
________________________________Current Time = 16:11:37
Total Items = 75
Sold Items = 51
Available Items = 24
________________________________Current Time = 17:02:30
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 18:21:10
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 19:38:42
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 20:50:30
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 21:47:52
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 22:44:39
Total Items = 75
Sold Items = 51
Available Items = 24
________________________________Current Time = 23:55:00
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 00:59:23
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 01:57:15
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 02:47:44
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 04:01:03
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 05:16:25
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 06:06:19
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 07:06:07
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 08:20:40
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 09:14:09
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 10:11:14
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 11:05:41
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 12:00:37
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 13:01:04
Total Items = 75
Sold Items = 51
Available Items = 24
________________________________Current Time = 14:00:36
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 15:03:30
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 16:15:36
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 17:14:28
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 18:25:53
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 19:18:04
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 20:36:13
Total Items = 77
Sold Items = 51
Available Items = 26
________________________________Current Time = 21:26:56
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 22:37:31
Total Items = 77
Sold Items = 51
Available Items = 26
________________________________Current Time = 23:39:44
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 00:52:07
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 01:53:37
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 03:13:05
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 04:16:20
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 05:12:00
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 11:54:06
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 13:01:43
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 14:17:33
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 15:09:37
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 16:17:25
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 17:13:37
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 18:38:59
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 19:53:45
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 20:59:50
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 21:52:41
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 23:09:07
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 00:20:08
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 01:29:26
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 02:24:22
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 03:43:13
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 04:34:06
Total Items = 78
Sold Items = 51
